task_id,hash,native_id,name,status,exit,submit,duration,realtime,%cpu,peak_rss,peak_vmem,rchar,wchar
14,4e/73ba71,219322.hpcnode0,profile_s (msa_m0.0010_rc0.0000010_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:05:01.067,2m 42s,2m 30s,100.1%,8.1 MB,118.2 MB,1.7 MB,6 KB
34,20/5e1d5d,219286.hpcnode0,profile_s (msa_m0.010_rc1.0E-7_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:04:58.245,2m 50s,2m 47s,100.0%,11.6 MB,119.7 MB,1.7 MB,6 KB
36,09/d3125e,219300.hpcnode0,profile_s (msa_m0.010_rc1.0E-7_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:04:59.180,3m 49s,2m 52s,100.0%,11.6 MB,119.7 MB,1.7 MB,6 KB
18,ab/ececd9,219315.hpcnode0,profile_s (msa_m0.010_rc0.0000010_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:05:00.473,3m 47s,3m 13s,100.1%,11.7 MB,121.7 MB,1.7 MB,6 KB
17,73/50d7ea,219324.hpcnode0,profile_s (msa_m0.010_rc0.0000010_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:05:01.239,3m 47s,3m 22s,100.1%,11.6 MB,121.7 MB,1.7 MB,6 KB
32,eb/6c7e6b,219325.hpcnode0,profile_s (msa_m0.010_rc0.0000010_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:05:01.325,3m 47s,3m 14s,100.1%,11.6 MB,121.7 MB,1.7 MB,6 KB
42,bd/526892,219335.hpcnode0,profile_s (msa_m0.0010_rc0.0000010_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:05:02.136,4m 6s,2m 6s,100.0%,8 MB,116.1 MB,1.7 MB,6 KB
22,37/a6c3a1,219337.hpcnode0,profile_s (msa_m0.0010_rc1.0E-7_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:05:02.303,4m 6s,2m 7s,100.0%,8.3 MB,116.3 MB,1.7 MB,6 KB
27,7d/d6e0fd,219338.hpcnode0,profile_s (msa_m0.0010_rc1.0E-7_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:05:02.365,4m 6s,2m 7s,100.0%,7.9 MB,116.1 MB,1.7 MB,6 KB
48,11/d9a30a,219320.hpcnode0,3seq_s (msa_m0.00010_rc0.0000010_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:05:00.908,6m 52s,6m 33s,100.1%,520.1 MB,634.8 MB,437.8 MB,21.2 KB
30,7c/5f1fec,219288.hpcnode0,3seq_s (msa_m0.00010_rc1.0E-7_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:04:58.373,7m 50s,7m 45s,99.9%,520 MB,632.8 MB,437.8 MB,23.3 KB
35,fc/f3dd6f,219317.hpcnode0,3seq_s (msa_m0.00010_rc1.0E-7_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:05:00.659,8m 52s,8m 25s,100.1%,520.1 MB,634.8 MB,437.8 MB,24.6 KB
43,54/48b97c,219301.hpcnode0,3seq_s (msa_m0.00010_rc1.0E-7_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:04:59.271,9m 54s,9m 47s,100.1%,520 MB,632.8 MB,437.8 MB,27.1 KB
46,20/22953e,219293.hpcnode0,3seq_s (msa_m0.00010_rc0.0000010_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:04:58.695,13m 44s,13m 1s,100.0%,520 MB,632.8 MB,437.8 MB,33 KB
2,e9/092283,219297.hpcnode0,phipack_s (msa_m0.00010_rc1.0E-7_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:04:58.943,41m 24s,40m 31s,100.1%,6.8 MB,114.9 MB,1.7 MB,533.5 KB
12,98/5ee83e,219331.hpcnode0,phipack_s (msa_m0.00010_rc0.0000010_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:05:01.837,41m 21s,40m 26s,100.1%,6.8 MB,116.9 MB,1.7 MB,527.7 KB
10,70/dd9ee5,219332.hpcnode0,phipack_s (msa_m0.00010_rc0.0000010_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:05:01.926,42m 26s,41m 40s,100.1%,6.8 MB,116.9 MB,1.7 MB,530.6 KB
7,69/5000cc,219292.hpcnode0,phipack_s (msa_m0.00010_rc1.0E-7_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:04:58.621,44m 24s,44m 3s,100.0%,7 MB,115 MB,1.7 MB,565.8 KB
1,e1/a6ce45,219316.hpcnode0,phipack_s (msa_m0.00010_rc1.0E-7_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:05:00.570,44m 27s,43m 44s,100.1%,6.9 MB,116.9 MB,1.7 MB,533.6 KB
21,81/cb1a37,219319.hpcnode0,phipack_s (msa_m0.00010_rc0.0000010_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:05:00.841,44m 27s,44m 19s,100.1%,6.8 MB,116.9 MB,1.7 MB,518.7 KB
45,2e/1e38dd,219326.hpcnode0,3seq_s (msa_m0.0010_rc1.0E-7_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:05:01.410,2h 17m 22s,2h 17m 9s,100.1%,520.1 MB,634.8 MB,437.8 MB,258.4 KB
11,61/a4c221,219313.hpcnode0,phipack_s (msa_m0.0010_rc1.0E-7_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:05:00.318,2h 29m 59s,2h 28m 59s,100.1%,15.9 MB,123.9 MB,1.7 MB,2.2 MB
37,ff/ccb371,219334.hpcnode0,3seq_s (msa_m0.010_rc0.0000010_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:05:02.051,2h 30m 17s,2h 28m 18s,100.0%,520.1 MB,632.8 MB,437.8 MB,278.6 KB
6,e7/6ace8f,219298.hpcnode0,phipack_s (msa_m0.0010_rc0.0000010_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:04:59.024,2h 30m 50s,2h 29m 50s,100.1%,16.3 MB,124.4 MB,1.7 MB,2.2 MB
23,33/5f3d0c,219295.hpcnode0,phipack_s (msa_m0.0010_rc0.0000010_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:04:58.821,2h 31m 5s,2h 30m 46s,100.1%,15.9 MB,123.9 MB,1.7 MB,2.2 MB
33,e3/1e31c7,219327.hpcnode0,3seq_s (msa_m0.0010_rc0.0000010_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:05:01.494,2h 32m 7s,2h 31m 3s,100.1%,520.1 MB,634.8 MB,437.8 MB,283.7 KB
50,8b/4d1bef,219285.hpcnode0,3seq_s (msa_m0.010_rc1.0E-7_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:04:58.162,2h 32m 35s,2h 32m 31s,100.0%,520.1 MB,632.8 MB,437.8 MB,286.3 KB
4,8f/ffe904,219333.hpcnode0,phipack_s (msa_m0.0010_rc1.0E-7_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:05:01.989,2h 39m 17s,2h 38m 31s,100.1%,16.5 MB,126.5 MB,1.7 MB,2.3 MB
9,ab/90dcfe,219323.hpcnode0,phipack_s (msa_m0.0010_rc1.0E-7_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:05:01.149,2h 42m 23s,2h 42m 17s,100.1%,15.8 MB,125.8 MB,1.7 MB,2.2 MB
24,80/ec01c1,219329.hpcnode0,phipack_s (msa_m0.0010_rc0.0000010_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:05:01.675,2h 44m 32s,2h 44m 28s,100.1%,15.8 MB,125.8 MB,1.7 MB,2.2 MB
39,80/703960,219328.hpcnode0,3seq_s (msa_m0.010_rc0.0000010_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:05:01.579,2h 51m 43s,2h 50m 55s,100.1%,520.1 MB,634.8 MB,437.8 MB,319.8 KB
20,9a/d9f644,219311.hpcnode0,phipack_s (msa_m0.010_rc1.0E-7_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:05:00.138,2h 59m 59s,2h 59m 38s,100.1%,26.6 MB,134.8 MB,1.7 MB,3.2 MB
5,2b/462f94,219304.hpcnode0,phipack_s (msa_m0.010_rc0.0000010_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:04:59.551,3h 44s,3h 7s,100.1%,26.6 MB,134.6 MB,1.7 MB,3.2 MB
8,ea/932016,219305.hpcnode0,phipack_s (msa_m0.010_rc1.0E-7_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:04:59.638,3h 44s,2h 59m 55s,100.1%,26.6 MB,134.8 MB,1.7 MB,3.2 MB
15,9f/de8801,219291.hpcnode0,phipack_s (msa_m0.010_rc0.0000010_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:04:58.559,3h 6m 50s,3h 6m 30s,100.0%,26.6 MB,134.8 MB,1.7 MB,3.2 MB
53,87/b0dcf4,219309.hpcnode0,3seq_s (msa_m0.0010_rc0.0000010_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:04:59.972,3h 13m 59s,3h 13m 18s,100.1%,520.1 MB,632.8 MB,437.8 MB,360.4 KB
49,e2/835acc,219336.hpcnode0,3seq_s (msa_m0.010_rc0.0000010_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:05:02.220,3h 16m 7s,3h 14m 9s,100.1%,520.1 MB,632.8 MB,437.8 MB,362 KB
3,eb/33fcdc,219321.hpcnode0,phipack_s (msa_m0.010_rc0.0000010_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:05:01.006,3h 17m 8s,3h 16m 17s,100.1%,26.6 MB,136.6 MB,1.7 MB,3.2 MB
19,76/6ace27,219330.hpcnode0,phipack_s (msa_m0.010_rc1.0E-7_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:05:01.736,3h 17m 7s,3h 16m 29s,100.1%,26.6 MB,136.8 MB,1.7 MB,3.2 MB
51,a7/24752b,219312.hpcnode0,3seq_s (msa_m0.010_rc1.0E-7_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:05:00.227,3h 25m 9s,3h 25m,100.1%,520.1 MB,632.8 MB,437.8 MB,381.6 KB
47,4c/6d7e38,219302.hpcnode0,3seq_s (msa_m0.0010_rc1.0E-7_n1000_dual0.05_rep2.fasta),COMPLETED,0,2019-07-31 15:04:59.337,3h 25m 15s,3h 24m 31s,100.1%,520.2 MB,632.9 MB,437.9 MB,380.8 KB
44,8a/c86e1e,219296.hpcnode0,3seq_s (msa_m0.010_rc1.0E-7_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:04:58.882,3h 45m 40s,3h 44m 46s,100.1%,520.1 MB,632.8 MB,437.8 MB,417.5 KB
41,b1/5ac12a,219308.hpcnode0,3seq_s (msa_m0.0010_rc1.0E-7_n1000_dual0.05_rep3.fasta),COMPLETED,0,2019-07-31 15:04:59.883,3h 49m 59s,3h 49m 59s,100.1%,520.1 MB,632.8 MB,437.8 MB,427 KB
54,d9/626184,219306.hpcnode0,3seq_s (msa_m0.0010_rc0.0000010_n1000_dual0.05_rep1.fasta),COMPLETED,0,2019-07-31 15:04:59.707,3h 55m 59s,3h 55m 36s,100.1%,520.1 MB,632.8 MB,437.8 MB,437.3 KB
