,hash,native_id,name,mut,rc,seq_n,dual_inf,rep,submit,duration,realtime,X.cpu,peak_rss,peak_vmem,rchar,wchar,parsed_hours
28,db/b09f7c,219211.hpcnode0,profile_s,0.001,1e-07,100,0.05,2,2019-07-31 13:37:02.919,3.7s,1.3s,95.3%,2.5 MB,110.6 MB,217.1 KB,6 KB,0.016666666666666666
29,d4/c9e285,219214.hpcnode0,profile_s,0.001,1e-06,100,0.05,3,2019-07-31 13:37:03.107,3.5s,1.3s,94.5%,2.5 MB,110.6 MB,217.1 KB,6 KB,0.016666666666666666
30,58/5c4155,219215.hpcnode0,profile_s,0.001,1e-07,100,0.05,3,2019-07-31 13:37:03.168,3.5s,1.3s,94.6%,2.5 MB,110.6 MB,217.1 KB,6 KB,0.016666666666666666
31,ae/aadf4d,219220.hpcnode0,profile_s,0.001,1e-06,100,0.05,2,2019-07-31 13:37:03.483,3.2s,1.6s,96.4%,2.5 MB,112.6 MB,219.9 KB,6 KB,0.016666666666666666
32,6a/2b77ce,219222.hpcnode0,3seq_s,0.0001,1e-07,100,0.05,1,2019-07-31 13:37:03.612,3.1s,2.1s,50.0%,371.5 MB,565.4 MB,436.4 MB,9.3 KB,0.016666666666666666
33,f2/a2e5ec,219223.hpcnode0,profile_s,0.0001,1e-06,100,0.05,2,2019-07-31 13:37:03.683,3s,1.4s,96.7%,2.4 MB,112.6 MB,219.9 KB,6.3 KB,0.016666666666666666
34,f6/160b05,219224.hpcnode0,profile_s,0.0001,1e-07,100,0.05,3,2019-07-31 13:37:03.744,3s,1.5s,95.7%,2.4 MB,112.6 MB,219.9 KB,6 KB,0.016666666666666666
35,a0/d6a133,219227.hpcnode0,profile_s,0.001,1e-07,100,0.05,1,2019-07-31 13:37:03.937,2.8s,1.6s,94.9%,2.5 MB,112.6 MB,220.1 KB,6 KB,0.016666666666666666
36,3e/ce6f76,219230.hpcnode0,profile_s,0.0001,1e-06,100,0.05,3,2019-07-31 13:37:04.129,2.6s,1.5s,94.1%,2.4 MB,112.6 MB,220.1 KB,6 KB,0.016666666666666666
37,f4/097fd8,219232.hpcnode0,profile_s,0.001,1e-06,100,0.05,1,2019-07-31 13:37:04.305,2.5s,1.6s,95.6%,2.5 MB,112.6 MB,220.1 KB,6 KB,0.016666666666666666
38,c6/e21c5d,219235.hpcnode0,profile_s,0.0001,1e-06,100,0.05,1,2019-07-31 13:37:04.507,2.3s,1.5s,95.1%,2.4 MB,112.6 MB,219.9 KB,6 KB,0.016666666666666666
39,48/7f8bb5,219237.hpcnode0,profile_s,0.0001,1e-07,100,0.05,1,2019-07-31 13:37:04.673,2.2s,1.3s,94.8%,2.4 MB,110.6 MB,217.1 KB,6 KB,0.016666666666666666
40,90/4d92d6,219238.hpcnode0,3seq_s,0.0001,1e-06,100,0.05,3,2019-07-31 13:37:04.744,2.2s,742ms,86.8%,1.3 MB,103.6 MB,436.4 MB,9.3 KB,0.016666666666666666
41,51/83ca38,219192.hpcnode0,3seq_s,0.01,1e-06,100,0.05,1,2019-07-31 13:37:01.497,9.6s,6.2s,91.5%,450.7 MB,563.4 MB,436.5 MB,9.4 KB,0.016666666666666666
42,87/ba4ac7,219213.hpcnode0,phipack_s,0.0001,1e-06,100,0.05,1,2019-07-31 13:37:03.047,8s,6.1s,99.1%,2.6 MB,110.7 MB,217.1 KB,16.2 KB,0.016666666666666666
43,0a/c00146,219193.hpcnode0,phipack_s,0.001,1e-07,100,0.05,3,2019-07-31 13:37:01.558,29.5s,24.2s,99.7%,3.4 MB,111.4 MB,217.1 KB,57.3 KB,0.016666666666666666
44,2f/f8377c,219196.hpcnode0,phipack_s,0.0001,1e-07,100,0.05,2,2019-07-31 13:37:01.781,39.3s,7.1s,98.6%,2.6 MB,110.7 MB,217.1 KB,19.9 KB,0.016666666666666666
45,62/aea9be,219197.hpcnode0,3seq_s,0.01,1e-06,100,0.05,2,2019-07-31 13:37:01.849,39.2s,6.4s,89.8%,450.7 MB,563.4 MB,436.5 MB,9.5 KB,0.016666666666666666
46,f5/e8d6a5,219198.hpcnode0,phipack_s,0.0001,1e-06,100,0.05,2,2019-07-31 13:37:01.921,39.2s,4.9s,98.4%,2.5 MB,110.7 MB,217.1 KB,13.7 KB,0.016666666666666666
47,4d/4f5001,219201.hpcnode0,3seq_s,0.01,1e-07,100,0.05,3,2019-07-31 13:37:02.185,38.9s,7.1s,84.1%,450.7 MB,563.4 MB,436.5 MB,9.5 KB,0.016666666666666666
48,1c/69fbad,219205.hpcnode0,3seq_s,0.001,1e-07,100,0.05,2,2019-07-31 13:37:02.494,38.6s,3.7s,73.8%,450.6 MB,563.4 MB,436.4 MB,9.4 KB,0.016666666666666666
49,ae/fcc1fd,219208.hpcnode0,phipack_s,0.001,1e-06,100,0.05,2,2019-07-31 13:37:02.720,38.4s,23s,99.7%,3.4 MB,111.4 MB,217.1 KB,57 KB,0.016666666666666666
50,20/8cf7d2,219209.hpcnode0,3seq_s,0.001,1e-07,100,0.05,3,2019-07-31 13:37:02.782,38.3s,3.7s,84.6%,450.6 MB,563.4 MB,436.4 MB,9.4 KB,0.016666666666666666
51,85/cc27a3,219212.hpcnode0,phipack_s,0.001,1e-06,100,0.05,1,2019-07-31 13:37:02.980,38.2s,22.8s,99.6%,3.4 MB,111.4 MB,217.1 KB,56.2 KB,0.016666666666666666
52,ce/708e1b,219216.hpcnode0,profile_s,0.01,1e-07,100,0.05,2,2019-07-31 13:37:03.231,37.9s,3.6s,98.3%,3.5 MB,111.6 MB,217.1 KB,6 KB,0.016666666666666666
53,ce/22b433,219219.hpcnode0,phipack_s,0.001,1e-07,100,0.05,1,2019-07-31 13:37:03.418,37.7s,27.6s,99.8%,3.5 MB,113.6 MB,219.9 KB,57.2 KB,0.016666666666666666
54,38/92ffa8,219221.hpcnode0,phipack_s,0.0001,1e-07,100,0.05,1,2019-07-31 13:37:03.546,37.6s,8.8s,99.3%,2.7 MB,112.8 MB,219.9 KB,23.1 KB,0.016666666666666666
55,01/d892af,219225.hpcnode0,phipack_s,0.001,1e-06,100,0.05,3,2019-07-31 13:37:03.809,37.3s,25.6s,99.7%,3.3 MB,113.3 MB,219.9 KB,52.9 KB,0.016666666666666666
56,15/e29385,219226.hpcnode0,phipack_s,0.0001,1e-07,100,0.05,3,2019-07-31 13:37:03.870,37.3s,8.7s,99.0%,2.7 MB,112.8 MB,219.9 KB,23.3 KB,0.016666666666666666
57,f9/23915d,219228.hpcnode0,profile_s,0.01,1e-06,100,0.05,3,2019-07-31 13:37:04.001,37.2s,3.1s,98.2%,3.1 MB,113.2 MB,220.1 KB,6 KB,0.016666666666666666
58,41/9b731b,219229.hpcnode0,3seq_s,0.01,1e-07,100,0.05,2,2019-07-31 13:37:04.061,37.1s,8.6s,88.0%,450.6 MB,565.4 MB,436.4 MB,9.5 KB,0.016666666666666666
59,e9/1a83eb,219231.hpcnode0,phipack_s,0.0001,1e-06,100,0.05,3,2019-07-31 13:37:04.219,37s,8.6s,98.8%,2.7 MB,112.8 MB,220.1 KB,21.7 KB,0.016666666666666666
60,e7/ad4726,219233.hpcnode0,profile_s,0.01,1e-06,100,0.05,1,2019-07-31 13:37:04.366,36.8s,3.2s,97.3%,3.1 MB,113.2 MB,220.1 KB,6 KB,0.016666666666666666
61,61/8f8302,219234.hpcnode0,phipack_s,0.001,1e-07,100,0.05,2,2019-07-31 13:37:04.428,36.8s,27s,99.7%,3.5 MB,113.6 MB,220.1 KB,55 KB,0.016666666666666666
62,09/8862b2,219239.hpcnode0,3seq_s,0.001,1e-06,100,0.05,1,2019-07-31 13:37:04.830,36.4s,10.9s,89.4%,450.6 MB,565.4 MB,436.4 MB,9.4 KB,0.016666666666666666
63,74/464b1a,219240.hpcnode0,3seq_s,0.01,1e-07,100,0.05,1,2019-07-31 13:37:04.892,36.3s,14.2s,95.8%,450.6 MB,565.4 MB,436.4 MB,9.5 KB,0.016666666666666666
64,81/2816ae,219241.hpcnode0,3seq_s,0.01,1e-06,100,0.05,3,2019-07-31 13:37:04.957,36.3s,5.2s,98.2%,450.6 MB,563.4 MB,436.4 MB,9.4 KB,0.016666666666666666
65,a3/677f85,219242.hpcnode0,3seq_s,0.001,1e-06,100,0.05,2,2019-07-31 13:37:05.019,36.2s,2.7s,96.6%,450.6 MB,563.4 MB,436.4 MB,9.4 KB,0.016666666666666666
66,2b/9109f9,219194.hpcnode0,phipack_s,0.01,1e-07,100,0.05,3,2019-07-31 13:37:01.645,1m 39s,1m 20s,99.9%,6.8 MB,114.9 MB,217.1 KB,177.5 KB,0.03333333333333333
67,dc/5ea113,219203.hpcnode0,phipack_s,0.01,1e-06,100,0.05,2,2019-07-31 13:37:02.350,1m 44s,1m 8s,100.0%,7.4 MB,115.4 MB,217.1 KB,190.1 KB,0.03333333333333333
68,fb/b51ec1,219218.hpcnode0,phipack_s,0.01,1e-06,100,0.05,1,2019-07-31 13:37:03.356,1m 43s,1m 11s,99.9%,7.3 MB,115.4 MB,217.1 KB,193.1 KB,0.03333333333333333
69,8e/dd9854,219236.hpcnode0,phipack_s,0.01,1e-06,100,0.05,3,2019-07-31 13:37:04.590,1m 42s,1m 23s,100.1%,7.4 MB,117.5 MB,219.9 KB,190.2 KB,0.03333333333333333
70,71/d33a1e,219217.hpcnode0,phipack_s,0.01,1e-07,100,0.05,2,2019-07-31 13:37:03.291,2m 13s,1m 16s,99.9%,8.4 MB,116.5 MB,217.1 KB,215.6 KB,0.03333333333333333
71,bc/3e2433,219243.hpcnode0,phipack_s,0.01,1e-07,100,0.05,1,2019-07-31 13:37:05.103,2m 11s,1m 27s,100.1%,8.1 MB,118.1 MB,219.9 KB,204.4 KB,0.03333333333333333
72,43/61a5cc,220586.hpcnode0,geneconv,0.0001,1e-06,1000,0.05,2,2019-08-13 14:59:17.259,1h 56m 29s,1h 55m 40s,100.1%,466.4 MB,574.5 MB,1.7 MB,358.4 KB,1.9333333333333331
73,f2/b0efb0,220577.hpcnode0,geneconv,0.0001,1e-06,1000,0.05,3,2019-08-13 14:59:16.637,2h 1m 4s,2h 51s,100.2%,462.5 MB,570.6 MB,1.7 MB,6.4 MB,2.0166666666666666
74,01/f43be3,220573.hpcnode0,geneconv,0.0001,1e-07,1000,0.05,1,2019-08-13 14:59:16.350,2h 13m 55s,2h 13m 10s,100.2%,462.7 MB,570.8 MB,1.7 MB,373.6 KB,2.2333333333333334
75,d1/b05901,220576.hpcnode0,geneconv,0.0001,1e-07,1000,0.05,3,2019-08-13 14:59:16.569,2h 19m 5s,2h 18m 19s,100.2%,493.7 MB,601.8 MB,1.7 MB,775 KB,2.3166666666666664
76,97/16a321,220583.hpcnode0,geneconv,0.0001,1e-07,1000,0.05,2,2019-08-13 14:59:17.038,2h 22m 9s,2h 21m 42s,100.2%,490.2 MB,598.3 MB,1.7 MB,406.2 KB,2.3666666666666667
77,e0/b5c8a8,220572.hpcnode0,geneconv,0.0001,1e-06,1000,0.05,1,2019-08-13 14:59:16.257,2h 22m 55s,2h 22m 22s,100.2%,477.8 MB,585.9 MB,1.7 MB,661.9 KB,2.3833333333333333
78,af/5c419f,220569.hpcnode0,geneconv,0.001,1e-07,1000,0.05,3,2019-08-13 14:59:16.036,7h 57m 31s,7h 57m 30s,100.1%,562 MB,670.1 MB,1.7 MB,149.4 KB,7.966666666666667
79,dc/7ed8eb,220584.hpcnode0,geneconv,0.001,1e-06,1000,0.05,3,2019-08-13 14:59:17.104,8h 15m 50s,8h 15m 12s,100.1%,561.6 MB,669.7 MB,1.7 MB,310 KB,8.266666666666667
80,e8/88fdf1,220579.hpcnode0,geneconv,0.001,1e-06,1000,0.05,1,2019-08-13 14:59:16.769,8h 26m 45s,8h 26m 29s,100.2%,561.2 MB,669.3 MB,1.7 MB,178.6 KB,8.450000000000001
81,07/83f6c2,220581.hpcnode0,geneconv,0.001,1e-07,1000,0.05,1,2019-08-13 14:59:16.904,8h 36m 50s,8h 36m 8s,100.2%,561.5 MB,669.6 MB,1.7 MB,306.7 KB,8.616666666666667
82,ef/306de2,220574.hpcnode0,geneconv,0.001,1e-07,1000,0.05,2,2019-08-13 14:59:16.438,8h 37m 46s,8h 36m 47s,100.2%,561.5 MB,669.6 MB,1.7 MB,309.3 KB,8.616666666666667
83,3e/a055d3,220580.hpcnode0,geneconv,0.001,1e-06,1000,0.05,2,2019-08-13 14:59:16.831,8h 37m 50s,8h 37m 6s,100.2%,561.4 MB,669.5 MB,1.7 MB,308.1 KB,8.633333333333335
84,16/dfb21d,220570.hpcnode0,geneconv,0.01,1e-07,1000,0.05,1,2019-08-13 14:59:16.123,10h 16m 31s,10h 16m 28s,100.1%,410 MB,518.1 MB,1.7 MB,124.5 KB,10.283333333333335
85,05/611feb,220582.hpcnode0,geneconv,0.01,1e-07,1000,0.05,3,2019-08-13 14:59:16.969,11h 7m 55s,11h 7m 27s,100.2%,380.4 MB,488.5 MB,1.7 MB,126 KB,11.133333333333335
86,2b/8c8b27,220578.hpcnode0,geneconv,0.01,1e-06,1000,0.05,2,2019-08-13 14:59:16.708,11h 8m 56s,11h 8m 3s,100.2%,395 MB,503.1 MB,1.7 MB,125.7 KB,11.15
87,02/46254f,220585.hpcnode0,geneconv,0.01,1e-06,1000,0.05,3,2019-08-13 14:59:17.169,11h 22m 10s,11h 21m 18s,100.1%,379 MB,487.1 MB,1.7 MB,123.5 KB,11.366666666666667
88,da/8783f8,220575.hpcnode0,geneconv,0.01,1e-06,1000,0.05,1,2019-08-13 14:59:16.502,11h 39m 26s,11h 38m 44s,100.2%,357 MB,465.1 MB,1.7 MB,124.5 KB,11.65
89,31/f6bf53,220571.hpcnode0,geneconv,0.01,1e-07,1000,0.05,2,2019-08-13 14:59:16.189,11h 42m 46s,11h 41m 51s,100.2%,354.2 MB,462.4 MB,1.7 MB,122 KB,11.700000000000001
90,42/28e5fc,219290.hpcnode0,profile_s,0.0001,1e-06,1000,0.05,2,2019-07-31 15:04:58.498,1m 59s,1m 57s,100.0%,6 MB,114.1 MB,1.7 MB,6 KB,0.03333333333333333
91,79/4a689e,219287.hpcnode0,profile_s,0.001,1e-07,1000,0.05,2,2019-07-31 15:04:58.310,2m 10s,2m 8s,100.0%,8 MB,116.1 MB,1.7 MB,6 KB,0.05
92,04/db21d2,219294.hpcnode0,profile_s,0.0001,1e-07,1000,0.05,1,2019-07-31 15:04:58.758,2m 39s,2m 5s,99.9%,6 MB,114.1 MB,1.7 MB,6 KB,0.05
93,dd/442b79,219289.hpcnode0,profile_s,0.01,1e-07,1000,0.05,1,2019-07-31 15:04:58.436,2m 44s,2m 44s,100.0%,11.6 MB,119.7 MB,1.7 MB,6 KB,0.05
94,f9/2aa649,219299.hpcnode0,profile_s,0.001,1e-06,1000,0.05,2,2019-07-31 15:04:59.110,2m 44s,2m 8s,100.0%,8.1 MB,116.2 MB,1.7 MB,6 KB,0.05
95,48/7e2c35,219303.hpcnode0,profile_s,0.0001,1e-07,1000,0.05,3,2019-07-31 15:04:59.405,2m 44s,1m 56s,100.0%,6 MB,114.1 MB,1.7 MB,6 KB,0.03333333333333333
96,b1/9a2de3,219307.hpcnode0,profile_s,0.0001,1e-07,1000,0.05,2,2019-07-31 15:04:59.795,2m 43s,1m 57s,100.0%,6 MB,114.1 MB,1.7 MB,6 KB,0.03333333333333333
97,a4/fa7511,219310.hpcnode0,profile_s,0.0001,1e-06,1000,0.05,3,2019-07-31 15:05:00.065,2m 43s,1m 57s,100.0%,6 MB,114.1 MB,1.7 MB,6 KB,0.03333333333333333
98,e3/3acd60,219314.hpcnode0,profile_s,0.0001,1e-06,1000,0.05,1,2019-07-31 15:05:00.399,2m 43s,1m 58s,100.0%,6 MB,114.1 MB,1.7 MB,6 KB,0.03333333333333333
99,2e/a312ff,219318.hpcnode0,3seq_s,0.0001,1e-06,1000,0.05,3,2019-07-31 15:05:00.752,2m 42s,2m 24s,100.1%,520.1 MB,634.8 MB,437.8 MB,13.7 KB,0.05
100,4e/73ba71,219322.hpcnode0,profile_s,0.001,1e-06,1000,0.05,3,2019-07-31 15:05:01.067,2m 42s,2m 30s,100.1%,8.1 MB,118.2 MB,1.7 MB,6 KB,0.05
101,20/5e1d5d,219286.hpcnode0,profile_s,0.01,1e-07,1000,0.05,3,2019-07-31 15:04:58.245,2m 50s,2m 47s,100.0%,11.6 MB,119.7 MB,1.7 MB,6 KB,0.05
102,09/d3125e,219300.hpcnode0,profile_s,0.01,1e-07,1000,0.05,2,2019-07-31 15:04:59.180,3m 49s,2m 52s,100.0%,11.6 MB,119.7 MB,1.7 MB,6 KB,0.05
103,ab/ececd9,219315.hpcnode0,profile_s,0.01,1e-06,1000,0.05,2,2019-07-31 15:05:00.473,3m 47s,3m 13s,100.1%,11.7 MB,121.7 MB,1.7 MB,6 KB,0.06666666666666667
104,73/50d7ea,219324.hpcnode0,profile_s,0.01,1e-06,1000,0.05,1,2019-07-31 15:05:01.239,3m 47s,3m 22s,100.1%,11.6 MB,121.7 MB,1.7 MB,6 KB,0.06666666666666667
105,eb/6c7e6b,219325.hpcnode0,profile_s,0.01,1e-06,1000,0.05,3,2019-07-31 15:05:01.325,3m 47s,3m 14s,100.1%,11.6 MB,121.7 MB,1.7 MB,6 KB,0.06666666666666667
106,bd/526892,219335.hpcnode0,profile_s,0.001,1e-06,1000,0.05,1,2019-07-31 15:05:02.136,4m 6s,2m 6s,100.0%,8 MB,116.1 MB,1.7 MB,6 KB,0.05
107,37/a6c3a1,219337.hpcnode0,profile_s,0.001,1e-07,1000,0.05,3,2019-07-31 15:05:02.303,4m 6s,2m 7s,100.0%,8.3 MB,116.3 MB,1.7 MB,6 KB,0.05
108,7d/d6e0fd,219338.hpcnode0,profile_s,0.001,1e-07,1000,0.05,1,2019-07-31 15:05:02.365,4m 6s,2m 7s,100.0%,7.9 MB,116.1 MB,1.7 MB,6 KB,0.05
109,11/d9a30a,219320.hpcnode0,3seq_s,0.0001,1e-06,1000,0.05,2,2019-07-31 15:05:00.908,6m 52s,6m 33s,100.1%,520.1 MB,634.8 MB,437.8 MB,21.2 KB,0.11666666666666667
110,7c/5f1fec,219288.hpcnode0,3seq_s,0.0001,1e-07,1000,0.05,3,2019-07-31 15:04:58.373,7m 50s,7m 45s,99.9%,520 MB,632.8 MB,437.8 MB,23.3 KB,0.13333333333333333
111,fc/f3dd6f,219317.hpcnode0,3seq_s,0.0001,1e-07,1000,0.05,2,2019-07-31 15:05:00.659,8m 52s,8m 25s,100.1%,520.1 MB,634.8 MB,437.8 MB,24.6 KB,0.15
112,54/48b97c,219301.hpcnode0,3seq_s,0.0001,1e-07,1000,0.05,1,2019-07-31 15:04:59.271,9m 54s,9m 47s,100.1%,520 MB,632.8 MB,437.8 MB,27.1 KB,0.16666666666666666
113,20/22953e,219293.hpcnode0,3seq_s,0.0001,1e-06,1000,0.05,1,2019-07-31 15:04:58.695,13m 44s,13m 1s,100.0%,520 MB,632.8 MB,437.8 MB,33 KB,0.23333333333333334
114,e9/092283,219297.hpcnode0,phipack_s,0.0001,1e-07,1000,0.05,3,2019-07-31 15:04:58.943,41m 24s,40m 31s,100.1%,6.8 MB,114.9 MB,1.7 MB,533.5 KB,0.6833333333333333
115,98/5ee83e,219331.hpcnode0,phipack_s,0.0001,1e-06,1000,0.05,2,2019-07-31 15:05:01.837,41m 21s,40m 26s,100.1%,6.8 MB,116.9 MB,1.7 MB,527.7 KB,0.6833333333333333
116,70/dd9ee5,219332.hpcnode0,phipack_s,0.0001,1e-06,1000,0.05,1,2019-07-31 15:05:01.926,42m 26s,41m 40s,100.1%,6.8 MB,116.9 MB,1.7 MB,530.6 KB,0.7000000000000001
117,69/5000cc,219292.hpcnode0,phipack_s,0.0001,1e-07,1000,0.05,2,2019-07-31 15:04:58.621,44m 24s,44m 3s,100.0%,7 MB,115 MB,1.7 MB,565.8 KB,0.75
118,e1/a6ce45,219316.hpcnode0,phipack_s,0.0001,1e-07,1000,0.05,1,2019-07-31 15:05:00.570,44m 27s,43m 44s,100.1%,6.9 MB,116.9 MB,1.7 MB,533.6 KB,0.7333333333333334
119,81/cb1a37,219319.hpcnode0,phipack_s,0.0001,1e-06,1000,0.05,3,2019-07-31 15:05:00.841,44m 27s,44m 19s,100.1%,6.8 MB,116.9 MB,1.7 MB,518.7 KB,0.75
120,2e/1e38dd,219326.hpcnode0,3seq_s,0.001,1e-07,1000,0.05,1,2019-07-31 15:05:01.410,2h 17m 22s,2h 17m 9s,100.1%,520.1 MB,634.8 MB,437.8 MB,258.4 KB,2.3
121,61/a4c221,219313.hpcnode0,phipack_s,0.001,1e-07,1000,0.05,2,2019-07-31 15:05:00.318,2h 29m 59s,2h 28m 59s,100.1%,15.9 MB,123.9 MB,1.7 MB,2.2 MB,2.4833333333333334
122,ff/ccb371,219334.hpcnode0,3seq_s,0.01,1e-06,1000,0.05,1,2019-07-31 15:05:02.051,2h 30m 17s,2h 28m 18s,100.0%,520.1 MB,632.8 MB,437.8 MB,278.6 KB,2.4833333333333334
123,e7/6ace8f,219298.hpcnode0,phipack_s,0.001,1e-06,1000,0.05,3,2019-07-31 15:04:59.024,2h 30m 50s,2h 29m 50s,100.1%,16.3 MB,124.4 MB,1.7 MB,2.2 MB,2.5
124,33/5f3d0c,219295.hpcnode0,phipack_s,0.001,1e-06,1000,0.05,2,2019-07-31 15:04:58.821,2h 31m 5s,2h 30m 46s,100.1%,15.9 MB,123.9 MB,1.7 MB,2.2 MB,2.5166666666666666
