task_id,hash,native_id,name,mut,rc,seq_n,dual_inf,rep,status,exit,submit,duration,realtime,X.cpu,peak_rss,peak_vmem,rchar,wchar
47,62/aea9be,219197.hpcnode0,3seq_s,0.01,0.000001,100,0.05,2,COMPLETED,0,37:01.8,39.2s,6.4s,89.80%,450.7 MB,563.4 MB,436.5 MB,9.5 KB
6,f5/e8d6a5,219198.hpcnode0,phipack_s,0.0001,0.000001,100,0.05,2,COMPLETED,0,37:01.9,39.2s,4.9s,98.40%,2.5 MB,110.7 MB,217.1 KB,13.7 KB
42,4d/4f5001,219201.hpcnode0,3seq_s,0.01,1.00E-07,100,0.05,3,COMPLETED,0,37:02.2,38.9s,7.1s,84.10%,450.7 MB,563.4 MB,436.5 MB,9.5 KB
38,1c/69fbad,219205.hpcnode0,3seq_s,0.001,1.00E-07,100,0.05,2,COMPLETED,0,37:02.5,38.6s,3.7s,73.80%,450.6 MB,563.4 MB,436.4 MB,9.4 KB
8,ae/fcc1fd,219208.hpcnode0,phipack_s,0.001,0.000001,100,0.05,2,COMPLETED,0,37:02.7,38.4s,23s,99.70%,3.4 MB,111.4 MB,217.1 KB,57 KB
49,20/8cf7d2,219209.hpcnode0,3seq_s,0.001,1.00E-07,100,0.05,3,COMPLETED,0,37:02.8,38.3s,3.7s,84.60%,450.6 MB,563.4 MB,436.4 MB,9.4 KB
2,85/cc27a3,219212.hpcnode0,phipack_s,0.001,0.000001,100,0.05,1,COMPLETED,0,37:03.0,38.2s,22.8s,99.60%,3.4 MB,111.4 MB,217.1 KB,56.2 KB
36,ce/708e1b,219216.hpcnode0,profile_s,0.01,1.00E-07,100,0.05,2,COMPLETED,0,37:03.2,37.9s,3.6s,98.30%,3.5 MB,111.6 MB,217.1 KB,6 KB
10,ce/22b433,219219.hpcnode0,phipack_s,0.001,1.00E-07,100,0.05,1,COMPLETED,0,37:03.4,37.7s,27.6s,99.80%,3.5 MB,113.6 MB,219.9 KB,57.2 KB
1,38/92ffa8,219221.hpcnode0,phipack_s,0.0001,1.00E-07,100,0.05,1,COMPLETED,0,37:03.5,37.6s,8.8s,99.30%,2.7 MB,112.8 MB,219.9 KB,23.1 KB
15,01/d892af,219225.hpcnode0,phipack_s,0.001,0.000001,100,0.05,3,COMPLETED,0,37:03.8,37.3s,25.6s,99.70%,3.3 MB,113.3 MB,219.9 KB,52.9 KB
5,15/e29385,219226.hpcnode0,phipack_s,0.0001,1.00E-07,100,0.05,3,COMPLETED,0,37:03.9,37.3s,8.7s,99.00%,2.7 MB,112.8 MB,219.9 KB,23.3 KB
27,f9/23915d,219228.hpcnode0,profile_s,0.01,0.000001,100,0.05,3,COMPLETED,0,37:04.0,37.2s,3.1s,98.20%,3.1 MB,113.2 MB,220.1 KB,6 KB
54,41/9b731b,219229.hpcnode0,3seq_s,0.01,1.00E-07,100,0.05,2,COMPLETED,0,37:04.1,37.1s,8.6s,88.00%,450.6 MB,565.4 MB,436.4 MB,9.5 KB
17,e9/1a83eb,219231.hpcnode0,phipack_s,0.0001,0.000001,100,0.05,3,COMPLETED,0,37:04.2,37s,8.6s,98.80%,2.7 MB,112.8 MB,220.1 KB,21.7 KB
30,e7/ad4726,219233.hpcnode0,profile_s,0.01,0.000001,100,0.05,1,COMPLETED,0,37:04.4,36.8s,3.2s,97.30%,3.1 MB,113.2 MB,220.1 KB,6 KB
7,61/8f8302,219234.hpcnode0,phipack_s,0.001,1.00E-07,100,0.05,2,COMPLETED,0,37:04.4,36.8s,27s,99.70%,3.5 MB,113.6 MB,220.1 KB,55 KB
37,09/8862b2,219239.hpcnode0,3seq_s,0.001,0.000001,100,0.05,1,COMPLETED,0,37:04.8,36.4s,10.9s,89.40%,450.6 MB,565.4 MB,436.4 MB,9.4 KB
50,74/464b1a,219240.hpcnode0,3seq_s,0.01,1.00E-07,100,0.05,1,COMPLETED,0,37:04.9,36.3s,14.2s,95.80%,450.6 MB,565.4 MB,436.4 MB,9.5 KB
44,81/2816ae,219241.hpcnode0,3seq_s,0.01,0.000001,100,0.05,3,COMPLETED,0,37:05.0,36.3s,5.2s,98.20%,450.6 MB,563.4 MB,436.4 MB,9.4 KB
45,a3/677f85,219242.hpcnode0,3seq_s,0.001,0.000001,100,0.05,2,COMPLETED,0,37:05.0,36.2s,2.7s,96.60%,450.6 MB,563.4 MB,436.4 MB,9.4 KB
3,2b/9109f9,219194.hpcnode0,phipack_s,0.01,1.00E-07,100,0.05,3,COMPLETED,0,37:01.6,1m 39s,1m 20s,99.90%,6.8 MB,114.9 MB,217.1 KB,177.5 KB
11,dc/5ea113,219203.hpcnode0,phipack_s,0.01,0.000001,100,0.05,2,COMPLETED,0,37:02.3,1m 44s,1m 8s,100.00%,7.4 MB,115.4 MB,217.1 KB,190.1 KB
12,fb/b51ec1,219218.hpcnode0,phipack_s,0.01,0.000001,100,0.05,1,COMPLETED,0,37:03.4,1m 43s,1m 11s,99.90%,7.3 MB,115.4 MB,217.1 KB,193.1 KB
9,8e/dd9854,219236.hpcnode0,phipack_s,0.01,0.000001,100,0.05,3,COMPLETED,0,37:04.6,1m 42s,1m 23s,100.10%,7.4 MB,117.5 MB,219.9 KB,190.2 KB
23,71/d33a1e,219217.hpcnode0,phipack_s,0.01,1.00E-07,100,0.05,2,COMPLETED,0,37:03.3,2m 13s,1m 16s,99.90%,8.4 MB,116.5 MB,217.1 KB,215.6 KB
14,bc/3e2433,219243.hpcnode0,phipack_s,0.01,1.00E-07,100,0.05,1,COMPLETED,0,37:05.1,2m 11s,1m 27s,100.10%,8.1 MB,118.1 MB,219.9 KB,204.4 KB
12,43/61a5cc,220586.hpcnode0,geneconv,0.0001,0.000001,1000,0.05,2,COMPLETED,0,59:17.3,1h 56m 29s,1h 55m 40s,100.10%,466.4 MB,574.5 MB,1.7 MB,358.4 KB
16,f2/b0efb0,220577.hpcnode0,geneconv,0.0001,0.000001,1000,0.05,3,COMPLETED,0,59:16.6,2h 1m 4s,2h 51s,100.20%,462.5 MB,570.6 MB,1.7 MB,6.4 MB
2,01/f43be3,220573.hpcnode0,geneconv,0.0001,1.00E-07,1000,0.05,1,COMPLETED,0,59:16.3,2h 13m 55s,2h 13m 10s,100.20%,462.7 MB,570.8 MB,1.7 MB,373.6 KB
1,d1/b05901,220576.hpcnode0,geneconv,0.0001,1.00E-07,1000,0.05,3,COMPLETED,0,59:16.6,2h 19m 5s,2h 18m 19s,100.20%,493.7 MB,601.8 MB,1.7 MB,775 KB
6,97/16a321,220583.hpcnode0,geneconv,0.0001,1.00E-07,1000,0.05,2,COMPLETED,0,59:17.0,2h 22m 9s,2h 21m 42s,100.20%,490.2 MB,598.3 MB,1.7 MB,406.2 KB
10,e0/b5c8a8,220572.hpcnode0,geneconv,0.0001,0.000001,1000,0.05,1,COMPLETED,0,59:16.3,2h 22m 55s,2h 22m 22s,100.20%,477.8 MB,585.9 MB,1.7 MB,661.9 KB
5,af/5c419f,220569.hpcnode0,geneconv,0.001,1.00E-07,1000,0.05,3,COMPLETED,0,59:16.0,7h 57m 31s,7h 57m 30s,100.10%,562 MB,670.1 MB,1.7 MB,149.4 KB
7,dc/7ed8eb,220584.hpcnode0,geneconv,0.001,0.000001,1000,0.05,3,COMPLETED,0,59:17.1,8h 15m 50s,8h 15m 12s,100.10%,561.6 MB,669.7 MB,1.7 MB,310 KB
18,e8/88fdf1,220579.hpcnode0,geneconv,0.001,0.000001,1000,0.05,1,COMPLETED,0,59:16.8,8h 26m 45s,8h 26m 29s,100.20%,561.2 MB,669.3 MB,1.7 MB,178.6 KB
9,07/83f6c2,220581.hpcnode0,geneconv,0.001,1.00E-07,1000,0.05,1,COMPLETED,0,59:16.9,8h 36m 50s,8h 36m 8s,100.20%,561.5 MB,669.6 MB,1.7 MB,306.7 KB
11,ef/306de2,220574.hpcnode0,geneconv,0.001,1.00E-07,1000,0.05,2,COMPLETED,0,59:16.4,8h 37m 46s,8h 36m 47s,100.20%,561.5 MB,669.6 MB,1.7 MB,309.3 KB
17,3e/a055d3,220580.hpcnode0,geneconv,0.001,0.000001,1000,0.05,2,COMPLETED,0,59:16.8,8h 37m 50s,8h 37m 6s,100.20%,561.4 MB,669.5 MB,1.7 MB,308.1 KB
8,16/dfb21d,220570.hpcnode0,geneconv,0.01,1.00E-07,1000,0.05,1,COMPLETED,0,59:16.1,10h 16m 31s,10h 16m 28s,100.10%,410 MB,518.1 MB,1.7 MB,124.5 KB
14,05/611feb,220582.hpcnode0,geneconv,0.01,1.00E-07,1000,0.05,3,COMPLETED,0,59:17.0,11h 7m 55s,11h 7m 27s,100.20%,380.4 MB,488.5 MB,1.7 MB,126 KB
4,2b/8c8b27,220578.hpcnode0,geneconv,0.01,0.000001,1000,0.05,2,COMPLETED,0,59:16.7,11h 8m 56s,11h 8m 3s,100.20%,395 MB,503.1 MB,1.7 MB,125.7 KB
13,02/46254f,220585.hpcnode0,geneconv,0.01,0.000001,1000,0.05,3,COMPLETED,0,59:17.2,11h 22m 10s,11h 21m 18s,100.10%,379 MB,487.1 MB,1.7 MB,123.5 KB
3,da/8783f8,220575.hpcnode0,geneconv,0.01,0.000001,1000,0.05,1,COMPLETED,0,59:16.5,11h 39m 26s,11h 38m 44s,100.20%,357 MB,465.1 MB,1.7 MB,124.5 KB
15,31/f6bf53,220571.hpcnode0,geneconv,0.01,1.00E-07,1000,0.05,2,COMPLETED,0,59:16.2,11h 42m 46s,11h 41m 51s,100.20%,354.2 MB,462.4 MB,1.7 MB,122 KB
31,42/28e5fc,219290.hpcnode0,profile_s,0.0001,0.000001,1000,0.05,2,COMPLETED,0,04:58.5,1m 59s,1m 57s,100.00%,6 MB,114.1 MB,1.7 MB,6 KB
29,79/4a689e,219287.hpcnode0,profile_s,0.001,1.00E-07,1000,0.05,2,COMPLETED,0,04:58.3,2m 10s,2m 8s,100.00%,8 MB,116.1 MB,1.7 MB,6 KB
25,04/db21d2,219294.hpcnode0,profile_s,0.0001,1.00E-07,1000,0.05,1,COMPLETED,0,04:58.8,2m 39s,2m 5s,99.90%,6 MB,114.1 MB,1.7 MB,6 KB
26,dd/442b79,219289.hpcnode0,profile_s,0.01,1.00E-07,1000,0.05,1,COMPLETED,0,04:58.4,2m 44s,2m 44s,100.00%,11.6 MB,119.7 MB,1.7 MB,6 KB
40,f9/2aa649,219299.hpcnode0,profile_s,0.001,0.000001,1000,0.05,2,COMPLETED,0,04:59.1,2m 44s,2m 8s,100.00%,8.1 MB,116.2 MB,1.7 MB,6 KB
13,48/7e2c35,219303.hpcnode0,profile_s,0.0001,1.00E-07,1000,0.05,3,COMPLETED,0,04:59.4,2m 44s,1m 56s,100.00%,6 MB,114.1 MB,1.7 MB,6 KB
16,b1/9a2de3,219307.hpcnode0,profile_s,0.0001,1.00E-07,1000,0.05,2,COMPLETED,0,04:59.8,2m 43s,1m 57s,100.00%,6 MB,114.1 MB,1.7 MB,6 KB
38,a4/fa7511,219310.hpcnode0,profile_s,0.0001,0.000001,1000,0.05,3,COMPLETED,0,05:00.1,2m 43s,1m 57s,100.00%,6 MB,114.1 MB,1.7 MB,6 KB
28,e3/3acd60,219314.hpcnode0,profile_s,0.0001,0.000001,1000,0.05,1,COMPLETED,0,05:00.4,2m 43s,1m 58s,100.00%,6 MB,114.1 MB,1.7 MB,6 KB
52,2e/a312ff,219318.hpcnode0,3seq_s,0.0001,0.000001,1000,0.05,3,COMPLETED,0,05:00.8,2m 42s,2m 24s,100.10%,520.1 MB,634.8 MB,437.8 MB,13.7 KB
14,4e/73ba71,219322.hpcnode0,profile_s,0.001,0.000001,1000,0.05,3,COMPLETED,0,05:01.1,2m 42s,2m 30s,100.10%,8.1 MB,118.2 MB,1.7 MB,6 KB
34,20/5e1d5d,219286.hpcnode0,profile_s,0.01,1.00E-07,1000,0.05,3,COMPLETED,0,04:58.2,2m 50s,2m 47s,100.00%,11.6 MB,119.7 MB,1.7 MB,6 KB
36,09/d3125e,219300.hpcnode0,profile_s,0.01,1.00E-07,1000,0.05,2,COMPLETED,0,04:59.2,3m 49s,2m 52s,100.00%,11.6 MB,119.7 MB,1.7 MB,6 KB
18,ab/ececd9,219315.hpcnode0,profile_s,0.01,0.000001,1000,0.05,2,COMPLETED,0,05:00.5,3m 47s,3m 13s,100.10%,11.7 MB,121.7 MB,1.7 MB,6 KB
17,73/50d7ea,219324.hpcnode0,profile_s,0.01,0.000001,1000,0.05,1,COMPLETED,0,05:01.2,3m 47s,3m 22s,100.10%,11.6 MB,121.7 MB,1.7 MB,6 KB
32,eb/6c7e6b,219325.hpcnode0,profile_s,0.01,0.000001,1000,0.05,3,COMPLETED,0,05:01.3,3m 47s,3m 14s,100.10%,11.6 MB,121.7 MB,1.7 MB,6 KB
42,bd/526892,219335.hpcnode0,profile_s,0.001,0.000001,1000,0.05,1,COMPLETED,0,05:02.1,4m 6s,2m 6s,100.00%,8 MB,116.1 MB,1.7 MB,6 KB
22,37/a6c3a1,219337.hpcnode0,profile_s,0.001,1.00E-07,1000,0.05,3,COMPLETED,0,05:02.3,4m 6s,2m 7s,100.00%,8.3 MB,116.3 MB,1.7 MB,6 KB
27,7d/d6e0fd,219338.hpcnode0,profile_s,0.001,1.00E-07,1000,0.05,1,COMPLETED,0,05:02.4,4m 6s,2m 7s,100.00%,7.9 MB,116.1 MB,1.7 MB,6 KB
48,11/d9a30a,219320.hpcnode0,3seq_s,0.0001,0.000001,1000,0.05,2,COMPLETED,0,05:00.9,6m 52s,6m 33s,100.10%,520.1 MB,634.8 MB,437.8 MB,21.2 KB
30,7c/5f1fec,219288.hpcnode0,3seq_s,0.0001,1.00E-07,1000,0.05,3,COMPLETED,0,04:58.4,7m 50s,7m 45s,99.90%,520 MB,632.8 MB,437.8 MB,23.3 KB
35,fc/f3dd6f,219317.hpcnode0,3seq_s,0.0001,1.00E-07,1000,0.05,2,COMPLETED,0,05:00.7,8m 52s,8m 25s,100.10%,520.1 MB,634.8 MB,437.8 MB,24.6 KB
43,54/48b97c,219301.hpcnode0,3seq_s,0.0001,1.00E-07,1000,0.05,1,COMPLETED,0,04:59.3,9m 54s,9m 47s,100.10%,520 MB,632.8 MB,437.8 MB,27.1 KB
46,20/22953e,219293.hpcnode0,3seq_s,0.0001,0.000001,1000,0.05,1,COMPLETED,0,04:58.7,13m 44s,13m 1s,100.00%,520 MB,632.8 MB,437.8 MB,33 KB
2,e9/092283,219297.hpcnode0,phipack_s,0.0001,1.00E-07,1000,0.05,3,COMPLETED,0,04:58.9,41m 24s,40m 31s,100.10%,6.8 MB,114.9 MB,1.7 MB,533.5 KB
12,98/5ee83e,219331.hpcnode0,phipack_s,0.0001,0.000001,1000,0.05,2,COMPLETED,0,05:01.8,41m 21s,40m 26s,100.10%,6.8 MB,116.9 MB,1.7 MB,527.7 KB
10,70/dd9ee5,219332.hpcnode0,phipack_s,0.0001,0.000001,1000,0.05,1,COMPLETED,0,05:01.9,42m 26s,41m 40s,100.10%,6.8 MB,116.9 MB,1.7 MB,530.6 KB
7,69/5000cc,219292.hpcnode0,phipack_s,0.0001,1.00E-07,1000,0.05,2,COMPLETED,0,04:58.6,44m 24s,44m 3s,100.00%,7 MB,115 MB,1.7 MB,565.8 KB
1,e1/a6ce45,219316.hpcnode0,phipack_s,0.0001,1.00E-07,1000,0.05,1,COMPLETED,0,05:00.6,44m 27s,43m 44s,100.10%,6.9 MB,116.9 MB,1.7 MB,533.6 KB
21,81/cb1a37,219319.hpcnode0,phipack_s,0.0001,0.000001,1000,0.05,3,COMPLETED,0,05:00.8,44m 27s,44m 19s,100.10%,6.8 MB,116.9 MB,1.7 MB,518.7 KB
45,2e/1e38dd,219326.hpcnode0,3seq_s,0.001,1.00E-07,1000,0.05,1,COMPLETED,0,05:01.4,2h 17m 22s,2h 17m 9s,100.10%,520.1 MB,634.8 MB,437.8 MB,258.4 KB
11,61/a4c221,219313.hpcnode0,phipack_s,0.001,1.00E-07,1000,0.05,2,COMPLETED,0,05:00.3,2h 29m 59s,2h 28m 59s,100.10%,15.9 MB,123.9 MB,1.7 MB,2.2 MB
37,ff/ccb371,219334.hpcnode0,3seq_s,0.01,0.000001,1000,0.05,1,COMPLETED,0,05:02.1,2h 30m 17s,2h 28m 18s,100.00%,520.1 MB,632.8 MB,437.8 MB,278.6 KB
6,e7/6ace8f,219298.hpcnode0,phipack_s,0.001,0.000001,1000,0.05,3,COMPLETED,0,04:59.0,2h 30m 50s,2h 29m 50s,100.10%,16.3 MB,124.4 MB,1.7 MB,2.2 MB
23,33/5f3d0c,219295.hpcnode0,phipack_s,0.001,0.000001,1000,0.05,2,COMPLETED,0,04:58.8,2h 31m 5s,2h 30m 46s,100.10%,15.9 MB,123.9 MB,1.7 MB,2.2 MB
33,e3/1e31c7,219327.hpcnode0,3seq_s,0.001,0.000001,1000,0.05,3,COMPLETED,0,05:01.5,2h 32m 7s,2h 31m 3s,100.10%,520.1 MB,634.8 MB,437.8 MB,283.7 KB
50,8b/4d1bef,219285.hpcnode0,3seq_s,0.01,1.00E-07,1000,0.05,3,COMPLETED,0,04:58.2,2h 32m 35s,2h 32m 31s,100.00%,520.1 MB,632.8 MB,437.8 MB,286.3 KB
4,8f/ffe904,219333.hpcnode0,phipack_s,0.001,1.00E-07,1000,0.05,3,COMPLETED,0,05:02.0,2h 39m 17s,2h 38m 31s,100.10%,16.5 MB,126.5 MB,1.7 MB,2.3 MB
9,ab/90dcfe,219323.hpcnode0,phipack_s,0.001,1.00E-07,1000,0.05,1,COMPLETED,0,05:01.1,2h 42m 23s,2h 42m 17s,100.10%,15.8 MB,125.8 MB,1.7 MB,2.2 MB
24,80/ec01c1,219329.hpcnode0,phipack_s,0.001,0.000001,1000,0.05,1,COMPLETED,0,05:01.7,2h 44m 32s,2h 44m 28s,100.10%,15.8 MB,125.8 MB,1.7 MB,2.2 MB
39,80/703960,219328.hpcnode0,3seq_s,0.01,0.000001,1000,0.05,2,COMPLETED,0,05:01.6,2h 51m 43s,2h 50m 55s,100.10%,520.1 MB,634.8 MB,437.8 MB,319.8 KB
20,9a/d9f644,219311.hpcnode0,phipack_s,0.01,1.00E-07,1000,0.05,2,COMPLETED,0,05:00.1,2h 59m 59s,2h 59m 38s,100.10%,26.6 MB,134.8 MB,1.7 MB,3.2 MB
5,2b/462f94,219304.hpcnode0,phipack_s,0.01,0.000001,1000,0.05,1,COMPLETED,0,04:59.6,3h 44s,3h 7s,100.10%,26.6 MB,134.6 MB,1.7 MB,3.2 MB
