"","mut","rec","seqnum","dualInf","rep","seq","simulated","geneconv","Condition","Method"
"23",1e-04,0,100,0,4,"seq_23",FALSE,FALSE,"TN","GENECONV"
"24",1e-04,0,100,0,4,"seq_24",FALSE,FALSE,"TN","GENECONV"
"25",1e-04,0,100,0,4,"seq_25",FALSE,FALSE,"TN","GENECONV"
"26",1e-04,0,100,0,4,"seq_26",FALSE,FALSE,"TN","GENECONV"
"27",1e-04,0,100,0,4,"seq_27",FALSE,FALSE,"TN","GENECONV"
"28",1e-04,0,100,0,4,"seq_28",FALSE,FALSE,"TN","GENECONV"
"29",1e-04,0,100,0,4,"seq_29",FALSE,FALSE,"TN","GENECONV"
"30",1e-04,0,100,0,4,"seq_30",FALSE,FALSE,"TN","GENECONV"
"31",1e-04,0,100,0,4,"seq_31",FALSE,FALSE,"TN","GENECONV"
"32",1e-04,0,100,0,4,"seq_32",FALSE,FALSE,"TN","GENECONV"
"33",1e-04,0,100,0,4,"seq_33",FALSE,FALSE,"TN","GENECONV"
"34",1e-04,0,100,0,4,"seq_34",FALSE,FALSE,"TN","GENECONV"
"35",1e-04,0,100,0,4,"seq_35",FALSE,FALSE,"TN","GENECONV"
"36",1e-04,0,100,0,4,"seq_36",FALSE,FALSE,"TN","GENECONV"
"37",1e-04,0,100,0,4,"seq_37",FALSE,FALSE,"TN","GENECONV"
"38",1e-04,0,100,0,4,"seq_38",FALSE,FALSE,"TN","GENECONV"
"39",1e-04,0,100,0,4,"seq_39",FALSE,FALSE,"TN","GENECONV"
"40",1e-04,0,100,0,4,"seq_40",FALSE,FALSE,"TN","GENECONV"
"41",1e-04,0,100,0,4,"seq_41",FALSE,FALSE,"TN","GENECONV"
"42",1e-04,0,100,0,4,"seq_42",FALSE,FALSE,"TN","GENECONV"
"43",1e-04,0,100,0,4,"seq_43",FALSE,FALSE,"TN","GENECONV"
"44",1e-04,0,100,0,4,"seq_44",FALSE,FALSE,"TN","GENECONV"
"45",1e-04,0,100,0,4,"seq_45",FALSE,FALSE,"TN","GENECONV"
"46",1e-04,0,100,0,4,"seq_46",FALSE,FALSE,"TN","GENECONV"
"47",1e-04,0,100,0,4,"seq_47",FALSE,FALSE,"TN","GENECONV"
"48",1e-04,0,100,0,4,"seq_48",FALSE,FALSE,"TN","GENECONV"
"49",1e-04,0,100,0,4,"seq_49",FALSE,FALSE,"TN","GENECONV"
"50",1e-04,0,100,0,4,"seq_50",FALSE,FALSE,"TN","GENECONV"
"51",1e-04,0,100,0,4,"seq_51",FALSE,FALSE,"TN","GENECONV"
"52",1e-04,0,100,0,4,"seq_52",FALSE,FALSE,"TN","GENECONV"
"53",1e-04,0,100,0,4,"seq_53",FALSE,FALSE,"TN","GENECONV"
"54",1e-04,0,100,0,4,"seq_54",FALSE,FALSE,"TN","GENECONV"
"55",1e-04,0,100,0,4,"seq_55",FALSE,FALSE,"TN","GENECONV"
"56",1e-04,0,100,0,4,"seq_56",FALSE,FALSE,"TN","GENECONV"
"57",1e-04,0,100,0,4,"seq_57",FALSE,FALSE,"TN","GENECONV"
"58",1e-04,0,100,0,4,"seq_58",FALSE,FALSE,"TN","GENECONV"
"59",1e-04,0,100,0,4,"seq_59",FALSE,FALSE,"TN","GENECONV"
"60",1e-04,0,100,0,4,"seq_60",FALSE,FALSE,"TN","GENECONV"
"61",1e-04,0,100,0,4,"seq_61",FALSE,FALSE,"TN","GENECONV"
"62",1e-04,0,100,0,4,"seq_62",FALSE,FALSE,"TN","GENECONV"
"63",1e-04,0,100,0,4,"seq_63",FALSE,FALSE,"TN","GENECONV"
"64",1e-04,0,100,0,4,"seq_64",FALSE,FALSE,"TN","GENECONV"
"65",1e-04,0,100,0,4,"seq_65",FALSE,FALSE,"TN","GENECONV"
"66",1e-04,0,100,0,4,"seq_66",FALSE,FALSE,"TN","GENECONV"
"67",1e-04,0,100,0,4,"seq_67",FALSE,FALSE,"TN","GENECONV"
"68",1e-04,0,100,0,4,"seq_68",FALSE,FALSE,"TN","GENECONV"
"69",1e-04,0,100,0,4,"seq_69",FALSE,FALSE,"TN","GENECONV"
"70",1e-04,0,100,0,4,"seq_70",FALSE,FALSE,"TN","GENECONV"
"71",1e-04,0,100,0,4,"seq_71",FALSE,FALSE,"TN","GENECONV"
"72",1e-04,0,100,0,4,"seq_72",FALSE,FALSE,"TN","GENECONV"
"73",1e-04,0,100,0,4,"seq_73",FALSE,FALSE,"TN","GENECONV"
"74",1e-04,0,100,0,4,"seq_74",FALSE,FALSE,"TN","GENECONV"
"75",1e-04,0,100,0,4,"seq_75",FALSE,FALSE,"TN","GENECONV"
"76",1e-04,0,100,0,4,"seq_76",FALSE,FALSE,"TN","GENECONV"
"77",1e-04,0,100,0,4,"seq_77",FALSE,FALSE,"TN","GENECONV"
"78",1e-04,0,100,0,4,"seq_78",FALSE,FALSE,"TN","GENECONV"
"79",1e-04,0,100,0,4,"seq_79",FALSE,FALSE,"TN","GENECONV"
"80",1e-04,0,100,0,4,"seq_80",FALSE,FALSE,"TN","GENECONV"
"81",1e-04,0,100,0,4,"seq_81",FALSE,FALSE,"TN","GENECONV"
"82",1e-04,0,100,0,4,"seq_82",FALSE,FALSE,"TN","GENECONV"
"83",1e-04,0,100,0,4,"seq_83",FALSE,FALSE,"TN","GENECONV"
"84",1e-04,0,100,0,4,"seq_84",FALSE,FALSE,"TN","GENECONV"
"85",1e-04,0,100,0,4,"seq_85",FALSE,FALSE,"TN","GENECONV"
"86",1e-04,0,100,0,4,"seq_86",FALSE,FALSE,"TN","GENECONV"
"87",1e-04,0,100,0,4,"seq_87",FALSE,FALSE,"TN","GENECONV"
"88",1e-04,0,100,0,4,"seq_88",FALSE,FALSE,"TN","GENECONV"
"89",1e-04,0,100,0,4,"seq_89",FALSE,FALSE,"TN","GENECONV"
"90",1e-04,0,100,0,4,"seq_90",FALSE,FALSE,"TN","GENECONV"
"91",1e-04,0,100,0,4,"seq_91",FALSE,FALSE,"TN","GENECONV"
"92",1e-04,0,100,0,4,"seq_92",FALSE,FALSE,"TN","GENECONV"
"93",1e-04,0,100,0,4,"seq_93",FALSE,FALSE,"TN","GENECONV"
"94",1e-04,0,100,0,4,"seq_94",FALSE,FALSE,"TN","GENECONV"
"95",1e-04,0,100,0,4,"seq_95",FALSE,FALSE,"TN","GENECONV"
"96",1e-04,0,100,0,4,"seq_96",FALSE,FALSE,"TN","GENECONV"
"97",1e-04,0,100,0,4,"seq_97",FALSE,FALSE,"TN","GENECONV"
"98",1e-04,0,100,0,4,"seq_98",FALSE,FALSE,"TN","GENECONV"
"99",1e-04,0,100,0,4,"seq_99",FALSE,FALSE,"TN","GENECONV"
"100",1e-04,0,100,0,4,"seq_100",FALSE,FALSE,"TN","GENECONV"
"101",1,0.01,100,1,1,"seq_1",FALSE,FALSE,"TN","GENECONV"
"102",1,0.01,100,1,1,"seq_2",FALSE,FALSE,"TN","GENECONV"
"103",1,0.01,100,1,1,"seq_3",FALSE,FALSE,"TN","GENECONV"
"104",1,0.01,100,1,1,"seq_4",FALSE,FALSE,"TN","GENECONV"
"105",1,0.01,100,1,1,"seq_5",FALSE,FALSE,"TN","GENECONV"
"106",1,0.01,100,1,1,"seq_6",FALSE,FALSE,"TN","GENECONV"
"107",1,0.01,100,1,1,"seq_7",FALSE,FALSE,"TN","GENECONV"
"108",1,0.01,100,1,1,"seq_8",FALSE,FALSE,"TN","GENECONV"
"109",1,0.01,100,1,1,"seq_9",FALSE,FALSE,"TN","GENECONV"
"110",1,0.01,100,1,1,"seq_10",FALSE,FALSE,"TN","GENECONV"
"111",1,0.01,100,1,1,"seq_11",FALSE,FALSE,"TN","GENECONV"
"112",1,0.01,100,1,1,"seq_12",FALSE,FALSE,"TN","GENECONV"
"113",1,0.01,100,1,1,"seq_13",FALSE,FALSE,"TN","GENECONV"
"114",1,0.01,100,1,1,"seq_14",FALSE,FALSE,"TN","GENECONV"
"115",1,0.01,100,1,1,"seq_15",FALSE,FALSE,"TN","GENECONV"
"116",1,0.01,100,1,1,"seq_16",FALSE,FALSE,"TN","GENECONV"
"117",1,0.01,100,1,1,"seq_17",FALSE,FALSE,"TN","GENECONV"
"118",1,0.01,100,1,1,"seq_18",FALSE,FALSE,"TN","GENECONV"
"119",1,0.01,100,1,1,"seq_19",FALSE,FALSE,"TN","GENECONV"
"120",1,0.01,100,1,1,"seq_20",FALSE,FALSE,"TN","GENECONV"
"121",1,0.01,100,1,1,"seq_21",FALSE,FALSE,"TN","GENECONV"
"122",1,0.01,100,1,1,"seq_22",FALSE,FALSE,"TN","GENECONV"
"123",1,0.01,100,1,1,"seq_23",FALSE,FALSE,"TN","GENECONV"
"124",1,0.01,100,1,1,"seq_24",FALSE,FALSE,"TN","GENECONV"
"125",1,0.01,100,1,1,"seq_25",FALSE,FALSE,"TN","GENECONV"
"126",1,0.01,100,1,1,"seq_26",FALSE,FALSE,"TN","GENECONV"
"127",1,0.01,100,1,1,"seq_27",FALSE,FALSE,"TN","GENECONV"
"128",1,0.01,100,1,1,"seq_28",FALSE,FALSE,"TN","GENECONV"
"129",1,0.01,100,1,1,"seq_29",FALSE,FALSE,"TN","GENECONV"
"130",1,0.01,100,1,1,"seq_30",FALSE,FALSE,"TN","GENECONV"
"131",1,0.01,100,1,1,"seq_31",FALSE,FALSE,"TN","GENECONV"
"132",1,0.01,100,1,1,"seq_32",FALSE,FALSE,"TN","GENECONV"
"133",1,0.01,100,1,1,"seq_33",FALSE,FALSE,"TN","GENECONV"
"134",1,0.01,100,1,1,"seq_34",FALSE,FALSE,"TN","GENECONV"
"135",1,0.01,100,1,1,"seq_35",FALSE,FALSE,"TN","GENECONV"
"136",1,0.01,100,1,1,"seq_36",FALSE,FALSE,"TN","GENECONV"
"137",1,0.01,100,1,1,"seq_37",TRUE,FALSE,"FN","GENECONV"
"138",1,0.01,100,1,1,"seq_38",FALSE,FALSE,"TN","GENECONV"
"139",1,0.01,100,1,1,"seq_39",FALSE,FALSE,"TN","GENECONV"
"140",1,0.01,100,1,1,"seq_40",FALSE,FALSE,"TN","GENECONV"
"141",1,0.01,100,1,1,"seq_41",FALSE,FALSE,"TN","GENECONV"
"142",1,0.01,100,1,1,"seq_42",FALSE,FALSE,"TN","GENECONV"
"143",1,0.01,100,1,1,"seq_43",FALSE,FALSE,"TN","GENECONV"
"144",1,0.01,100,1,1,"seq_44",FALSE,FALSE,"TN","GENECONV"
"145",1,0.01,100,1,1,"seq_45",FALSE,FALSE,"TN","GENECONV"
"146",1,0.01,100,1,1,"seq_46",FALSE,FALSE,"TN","GENECONV"
"147",1,0.01,100,1,1,"seq_47",FALSE,FALSE,"TN","GENECONV"
"148",1,0.01,100,1,1,"seq_48",FALSE,FALSE,"TN","GENECONV"
"149",1,0.01,100,1,1,"seq_49",FALSE,FALSE,"TN","GENECONV"
"150",1,0.01,100,1,1,"seq_50",FALSE,FALSE,"TN","GENECONV"
"151",1,0.01,100,1,1,"seq_51",FALSE,FALSE,"TN","GENECONV"
"152",1,0.01,100,1,1,"seq_52",FALSE,FALSE,"TN","GENECONV"
"153",1,0.01,100,1,1,"seq_53",FALSE,FALSE,"TN","GENECONV"
"154",1,0.01,100,1,1,"seq_54",FALSE,FALSE,"TN","GENECONV"
"155",1,0.01,100,1,1,"seq_55",FALSE,FALSE,"TN","GENECONV"
"156",1,0.01,100,1,1,"seq_56",FALSE,FALSE,"TN","GENECONV"
"157",1,0.01,100,1,1,"seq_57",FALSE,FALSE,"TN","GENECONV"
"158",1,0.01,100,1,1,"seq_58",FALSE,FALSE,"TN","GENECONV"
"159",1,0.01,100,1,1,"seq_59",FALSE,FALSE,"TN","GENECONV"
"160",1,0.01,100,1,1,"seq_60",FALSE,FALSE,"TN","GENECONV"
"161",1,0.01,100,1,1,"seq_61",FALSE,FALSE,"TN","GENECONV"
"162",1,0.01,100,1,1,"seq_62",FALSE,FALSE,"TN","GENECONV"
"163",1,0.01,100,1,1,"seq_63",FALSE,FALSE,"TN","GENECONV"
"164",1,0.01,100,1,1,"seq_64",FALSE,FALSE,"TN","GENECONV"
"165",1,0.01,100,1,1,"seq_65",FALSE,FALSE,"TN","GENECONV"
"166",1,0.01,100,1,1,"seq_66",FALSE,FALSE,"TN","GENECONV"
"167",1,0.01,100,1,1,"seq_67",FALSE,FALSE,"TN","GENECONV"
"168",1,0.01,100,1,1,"seq_68",FALSE,FALSE,"TN","GENECONV"
"169",1,0.01,100,1,1,"seq_69",FALSE,FALSE,"TN","GENECONV"
"170",1,0.01,100,1,1,"seq_70",FALSE,FALSE,"TN","GENECONV"
"171",1,0.01,100,1,1,"seq_71",FALSE,FALSE,"TN","GENECONV"
"172",1,0.01,100,1,1,"seq_72",FALSE,FALSE,"TN","GENECONV"
"173",1,0.01,100,1,1,"seq_73",FALSE,FALSE,"TN","GENECONV"
"174",1,0.01,100,1,1,"seq_74",FALSE,FALSE,"TN","GENECONV"
"175",1,0.01,100,1,1,"seq_75",FALSE,FALSE,"TN","GENECONV"
"176",1,0.01,100,1,1,"seq_76",FALSE,FALSE,"TN","GENECONV"
"177",1,0.01,100,1,1,"seq_77",FALSE,FALSE,"TN","GENECONV"
"178",1,0.01,100,1,1,"seq_78",FALSE,FALSE,"TN","GENECONV"
"179",1,0.01,100,1,1,"seq_79",FALSE,FALSE,"TN","GENECONV"
"180",1,0.01,100,1,1,"seq_80",FALSE,FALSE,"TN","GENECONV"
"181",1,0.01,100,1,1,"seq_81",FALSE,FALSE,"TN","GENECONV"
"182",1,0.01,100,1,1,"seq_82",FALSE,FALSE,"TN","GENECONV"
"183",1,0.01,100,1,1,"seq_83",FALSE,FALSE,"TN","GENECONV"
"184",1,0.01,100,1,1,"seq_84",FALSE,FALSE,"TN","GENECONV"
"185",1,0.01,100,1,1,"seq_85",FALSE,FALSE,"TN","GENECONV"
"186",1,0.01,100,1,1,"seq_86",FALSE,FALSE,"TN","GENECONV"
"187",1,0.01,100,1,1,"seq_87",FALSE,FALSE,"TN","GENECONV"
"188",1,0.01,100,1,1,"seq_88",FALSE,FALSE,"TN","GENECONV"
"189",1,0.01,100,1,1,"seq_89",FALSE,FALSE,"TN","GENECONV"
"190",1,0.01,100,1,1,"seq_90",FALSE,FALSE,"TN","GENECONV"
"191",1,0.01,100,1,1,"seq_91",FALSE,FALSE,"TN","GENECONV"
"192",1,0.01,100,1,1,"seq_92",FALSE,FALSE,"TN","GENECONV"
"193",1,0.01,100,1,1,"seq_93",FALSE,FALSE,"TN","GENECONV"
"194",1,0.01,100,1,1,"seq_94",FALSE,FALSE,"TN","GENECONV"
"195",1,0.01,100,1,1,"seq_95",FALSE,FALSE,"TN","GENECONV"
"196",1,0.01,100,1,1,"seq_96",FALSE,FALSE,"TN","GENECONV"
"197",1,0.01,100,1,1,"seq_97",FALSE,FALSE,"TN","GENECONV"
"198",1,0.01,100,1,1,"seq_98",FALSE,FALSE,"TN","GENECONV"
"199",1,0.01,100,1,1,"seq_99",FALSE,FALSE,"TN","GENECONV"
"200",1,0.01,100,1,1,"seq_100",FALSE,FALSE,"TN","GENECONV"
"201",1,0.001,100,1,3,"seq_1",FALSE,FALSE,"TN","GENECONV"
"202",1,0.001,100,1,3,"seq_2",FALSE,FALSE,"TN","GENECONV"
"203",1,0.001,100,1,3,"seq_3",FALSE,FALSE,"TN","GENECONV"
"204",1,0.001,100,1,3,"seq_4",FALSE,FALSE,"TN","GENECONV"
"205",1,0.001,100,1,3,"seq_5",FALSE,FALSE,"TN","GENECONV"
"206",1,0.001,100,1,3,"seq_6",FALSE,FALSE,"TN","GENECONV"
"207",1,0.001,100,1,3,"seq_7",FALSE,FALSE,"TN","GENECONV"
"208",1,0.001,100,1,3,"seq_8",FALSE,FALSE,"TN","GENECONV"
"209",1,0.001,100,1,3,"seq_9",FALSE,FALSE,"TN","GENECONV"
"210",1,0.001,100,1,3,"seq_10",FALSE,FALSE,"TN","GENECONV"
"211",1,0.001,100,1,3,"seq_11",FALSE,FALSE,"TN","GENECONV"
"212",1,0.001,100,1,3,"seq_12",FALSE,FALSE,"TN","GENECONV"
"213",1,0.001,100,1,3,"seq_13",FALSE,FALSE,"TN","GENECONV"
"214",1,0.001,100,1,3,"seq_14",FALSE,FALSE,"TN","GENECONV"
"215",1,0.001,100,1,3,"seq_15",FALSE,FALSE,"TN","GENECONV"
"216",1,0.001,100,1,3,"seq_16",FALSE,FALSE,"TN","GENECONV"
"217",1,0.001,100,1,3,"seq_17",FALSE,FALSE,"TN","GENECONV"
"218",1,0.001,100,1,3,"seq_18",FALSE,FALSE,"TN","GENECONV"
"219",1,0.001,100,1,3,"seq_19",FALSE,FALSE,"TN","GENECONV"
"220",1,0.001,100,1,3,"seq_20",FALSE,FALSE,"TN","GENECONV"
"221",1,0.001,100,1,3,"seq_21",FALSE,FALSE,"TN","GENECONV"
"222",1,0.001,100,1,3,"seq_22",FALSE,FALSE,"TN","GENECONV"
"223",1,0.001,100,1,3,"seq_23",FALSE,FALSE,"TN","GENECONV"
"224",1,0.001,100,1,3,"seq_24",FALSE,FALSE,"TN","GENECONV"
"225",1,0.001,100,1,3,"seq_25",FALSE,FALSE,"TN","GENECONV"
"226",1,0.001,100,1,3,"seq_26",FALSE,FALSE,"TN","GENECONV"
"227",1,0.001,100,1,3,"seq_27",FALSE,FALSE,"TN","GENECONV"
"228",1,0.001,100,1,3,"seq_28",FALSE,FALSE,"TN","GENECONV"
"229",1,0.001,100,1,3,"seq_29",FALSE,FALSE,"TN","GENECONV"
"230",1,0.001,100,1,3,"seq_30",FALSE,FALSE,"TN","GENECONV"
"231",1,0.001,100,1,3,"seq_31",FALSE,FALSE,"TN","GENECONV"
"232",1,0.001,100,1,3,"seq_32",FALSE,FALSE,"TN","GENECONV"
"233",1,0.001,100,1,3,"seq_33",FALSE,FALSE,"TN","GENECONV"
"234",1,0.001,100,1,3,"seq_34",FALSE,FALSE,"TN","GENECONV"
"235",1,0.001,100,1,3,"seq_35",FALSE,FALSE,"TN","GENECONV"
"236",1,0.001,100,1,3,"seq_36",FALSE,FALSE,"TN","GENECONV"
"237",1,0.001,100,1,3,"seq_37",FALSE,FALSE,"TN","GENECONV"
"238",1,0.001,100,1,3,"seq_38",FALSE,FALSE,"TN","GENECONV"
"239",1,0.001,100,1,3,"seq_39",FALSE,FALSE,"TN","GENECONV"
"240",1,0.001,100,1,3,"seq_40",FALSE,FALSE,"TN","GENECONV"
"241",1,0.001,100,1,3,"seq_41",FALSE,FALSE,"TN","GENECONV"
"242",1,0.001,100,1,3,"seq_42",FALSE,FALSE,"TN","GENECONV"
"243",1,0.001,100,1,3,"seq_43",FALSE,FALSE,"TN","GENECONV"
"244",1,0.001,100,1,3,"seq_44",FALSE,FALSE,"TN","GENECONV"
"245",1,0.001,100,1,3,"seq_45",FALSE,FALSE,"TN","GENECONV"
"246",1,0.001,100,1,3,"seq_46",FALSE,FALSE,"TN","GENECONV"
"247",1,0.001,100,1,3,"seq_47",FALSE,FALSE,"TN","GENECONV"
"248",1,0.001,100,1,3,"seq_48",FALSE,FALSE,"TN","GENECONV"
"249",1,0.001,100,1,3,"seq_49",FALSE,FALSE,"TN","GENECONV"
"250",1,0.001,100,1,3,"seq_50",FALSE,FALSE,"TN","GENECONV"
"251",1,0.001,100,1,3,"seq_51",FALSE,FALSE,"TN","GENECONV"
"252",1,0.001,100,1,3,"seq_52",FALSE,FALSE,"TN","GENECONV"
"253",1,0.001,100,1,3,"seq_53",FALSE,FALSE,"TN","GENECONV"
"254",1,0.001,100,1,3,"seq_54",FALSE,FALSE,"TN","GENECONV"
"255",1,0.001,100,1,3,"seq_55",FALSE,FALSE,"TN","GENECONV"
"256",1,0.001,100,1,3,"seq_56",FALSE,FALSE,"TN","GENECONV"
"257",1,0.001,100,1,3,"seq_57",FALSE,FALSE,"TN","GENECONV"
"258",1,0.001,100,1,3,"seq_58",FALSE,FALSE,"TN","GENECONV"
"259",1,0.001,100,1,3,"seq_59",FALSE,FALSE,"TN","GENECONV"
"260",1,0.001,100,1,3,"seq_60",FALSE,FALSE,"TN","GENECONV"
"261",1,0.001,100,1,3,"seq_61",FALSE,FALSE,"TN","GENECONV"
"262",1,0.001,100,1,3,"seq_62",FALSE,FALSE,"TN","GENECONV"
"263",1,0.001,100,1,3,"seq_63",FALSE,TRUE,"FP","GENECONV"
"264",1,0.001,100,1,3,"seq_64",FALSE,FALSE,"TN","GENECONV"
"265",1,0.001,100,1,3,"seq_65",FALSE,FALSE,"TN","GENECONV"
"266",1,0.001,100,1,3,"seq_66",FALSE,FALSE,"TN","GENECONV"
"267",1,0.001,100,1,3,"seq_67",FALSE,FALSE,"TN","GENECONV"
"268",1,0.001,100,1,3,"seq_68",FALSE,FALSE,"TN","GENECONV"
"269",1,0.001,100,1,3,"seq_69",FALSE,FALSE,"TN","GENECONV"
"270",1,0.001,100,1,3,"seq_70",FALSE,TRUE,"FP","GENECONV"
"271",1,0.001,100,1,3,"seq_71",FALSE,FALSE,"TN","GENECONV"
"272",1,0.001,100,1,3,"seq_72",FALSE,FALSE,"TN","GENECONV"
"273",1,0.001,100,1,3,"seq_73",FALSE,FALSE,"TN","GENECONV"
"274",1,0.001,100,1,3,"seq_74",FALSE,FALSE,"TN","GENECONV"
"275",1,0.001,100,1,3,"seq_75",FALSE,FALSE,"TN","GENECONV"
"276",1,0.001,100,1,3,"seq_76",FALSE,FALSE,"TN","GENECONV"
"277",1,0.001,100,1,3,"seq_77",FALSE,FALSE,"TN","GENECONV"
"278",1,0.001,100,1,3,"seq_78",FALSE,FALSE,"TN","GENECONV"
"279",1,0.001,100,1,3,"seq_79",FALSE,FALSE,"TN","GENECONV"
"280",1,0.001,100,1,3,"seq_80",FALSE,FALSE,"TN","GENECONV"
"281",1,0.001,100,1,3,"seq_81",FALSE,FALSE,"TN","GENECONV"
"282",1,0.001,100,1,3,"seq_82",FALSE,FALSE,"TN","GENECONV"
"283",1,0.001,100,1,3,"seq_83",FALSE,FALSE,"TN","GENECONV"
"284",1,0.001,100,1,3,"seq_84",FALSE,FALSE,"TN","GENECONV"
"285",1,0.001,100,1,3,"seq_85",FALSE,FALSE,"TN","GENECONV"
"286",1,0.001,100,1,3,"seq_86",FALSE,FALSE,"TN","GENECONV"
"287",1,0.001,100,1,3,"seq_87",FALSE,FALSE,"TN","GENECONV"
"288",1,0.001,100,1,3,"seq_88",FALSE,FALSE,"TN","GENECONV"
"289",1,0.001,100,1,3,"seq_89",FALSE,FALSE,"TN","GENECONV"
"290",1,0.001,100,1,3,"seq_90",FALSE,FALSE,"TN","GENECONV"
"291",1,0.001,100,1,3,"seq_91",FALSE,FALSE,"TN","GENECONV"
"292",1,0.001,100,1,3,"seq_92",FALSE,FALSE,"TN","GENECONV"
"293",1,0.001,100,1,3,"seq_93",FALSE,FALSE,"TN","GENECONV"
"294",1,0.001,100,1,3,"seq_94",FALSE,FALSE,"TN","GENECONV"
"295",1,0.001,100,1,3,"seq_95",FALSE,FALSE,"TN","GENECONV"
"296",1,0.001,100,1,3,"seq_96",FALSE,FALSE,"TN","GENECONV"
"297",1,0.001,100,1,3,"seq_97",FALSE,FALSE,"TN","GENECONV"
"298",1,0.001,100,1,3,"seq_98",FALSE,FALSE,"TN","GENECONV"
"299",1,0.001,100,1,3,"seq_99",FALSE,FALSE,"TN","GENECONV"
"300",1,0.001,100,1,3,"seq_100",FALSE,FALSE,"TN","GENECONV"
"301",0.001,0.001,100,0,5,"seq_1",FALSE,FALSE,"TN","GENECONV"
"302",0.001,0.001,100,0,5,"seq_2",FALSE,FALSE,"TN","GENECONV"
"303",0.001,0.001,100,0,5,"seq_3",FALSE,FALSE,"TN","GENECONV"
"304",0.001,0.001,100,0,5,"seq_4",FALSE,FALSE,"TN","GENECONV"
"305",0.001,0.001,100,0,5,"seq_5",FALSE,FALSE,"TN","GENECONV"
"306",0.001,0.001,100,0,5,"seq_6",FALSE,FALSE,"TN","GENECONV"
"307",0.001,0.001,100,0,5,"seq_7",FALSE,FALSE,"TN","GENECONV"
"308",0.001,0.001,100,0,5,"seq_8",FALSE,FALSE,"TN","GENECONV"
"309",0.001,0.001,100,0,5,"seq_9",FALSE,FALSE,"TN","GENECONV"
"310",0.001,0.001,100,0,5,"seq_10",FALSE,FALSE,"TN","GENECONV"
"311",0.001,0.001,100,0,5,"seq_11",FALSE,FALSE,"TN","GENECONV"
"312",0.001,0.001,100,0,5,"seq_12",FALSE,FALSE,"TN","GENECONV"
"313",0.001,0.001,100,0,5,"seq_13",FALSE,FALSE,"TN","GENECONV"
"314",0.001,0.001,100,0,5,"seq_14",FALSE,FALSE,"TN","GENECONV"
"315",0.001,0.001,100,0,5,"seq_15",FALSE,FALSE,"TN","GENECONV"
"316",0.001,0.001,100,0,5,"seq_16",FALSE,FALSE,"TN","GENECONV"
"317",0.001,0.001,100,0,5,"seq_17",FALSE,FALSE,"TN","GENECONV"
"318",0.001,0.001,100,0,5,"seq_18",FALSE,FALSE,"TN","GENECONV"
"319",0.001,0.001,100,0,5,"seq_19",FALSE,FALSE,"TN","GENECONV"
"320",0.001,0.001,100,0,5,"seq_20",FALSE,FALSE,"TN","GENECONV"
"321",0.001,0.001,100,0,5,"seq_21",FALSE,FALSE,"TN","GENECONV"
"322",0.001,0.001,100,0,5,"seq_22",FALSE,FALSE,"TN","GENECONV"
"323",0.001,0.001,100,0,5,"seq_23",FALSE,FALSE,"TN","GENECONV"
"324",0.001,0.001,100,0,5,"seq_24",FALSE,FALSE,"TN","GENECONV"
"325",0.001,0.001,100,0,5,"seq_25",FALSE,FALSE,"TN","GENECONV"
"326",0.001,0.001,100,0,5,"seq_26",FALSE,FALSE,"TN","GENECONV"
"327",0.001,0.001,100,0,5,"seq_27",FALSE,FALSE,"TN","GENECONV"
